date,ticker,underlying_price,otm_pct
2021-01-15,MSFT US 02/19/21 C230 Equity,212.65,0.08158946625911123
2021-02-19,MSFT US 03/19/21 C260 Equity,240.97,0.07897248620160191
2021-03-19,MSFT US 04/16/21 C250 Equity,230.35,0.0853049706967659
2021-04-16,MSFT US 05/21/21 C285 Equity,260.74,0.09304287796272148
2021-05-21,MSFT US 06/18/21 C265 Equity,245.17,0.08088265285312235
2021-06-18,MSFT US 07/16/21 C280 Equity,259.43,0.07928921096249475
2021-07-16,MSFT US 08/20/21 C305 Equity,280.75,0.08637577916295647
2021-08-20,MSFT US 09/17/21 C330 Equity,304.36,0.08424234459193047
2021-09-17,MSFT US 10/15/21 C325 Equity,299.87,0.08380298129189323
2021-10-15,MSFT US 11/19/21 C330 Equity,304.21,0.08477696328194351
2021-11-19,MSFT US 12/17/21 C375 Equity,343.11,0.0929439538340473
2021-12-17,MSFT US 01/21/22 C355 Equity,323.8,0.09635577516985783
2022-01-21,MSFT US 02/18/22 C325 Equity,296.03,0.09786170320575627
2022-02-18,MSFT US 03/18/22 C315 Equity,287.93,0.09401590664397586
2022-03-18,MSFT US 04/14/22 C325 Equity,300.43,0.08178277801817391
2022-04-14,MSFT US 05/20/22 C305 Equity,279.83,0.08994746810563559
2022-05-20,MSFT US 06/17/22 C275 Equity,252.56,0.08885017421602792
2022-06-17,MSFT US 07/15/22 C270 Equity,247.65,0.09024833434282242
2022-07-15,MSFT US 08/19/22 C280 Equity,256.72,0.09068245559364274
2022-08-19,MSFT US 09/16/22 C310 Equity,286.15,0.08334789446094715
2022-09-16,MSFT US 10/21/22 C265 Equity,244.74,0.08278172754760149
2022-10-21,MSFT US 11/18/22 C265 Equity,242.12,0.09449859573765074
2022-11-18,MSFT US 12/16/22 C260 Equity,241.22,0.07785424094187876
2022-12-16,MSFT US 01/20/23 C265 Equity,244.69,0.08300298336670897
2023-01-20,MSFT US 02/17/23 C260 Equity,240.22,0.08234118724502548
2023-02-17,MSFT US 03/17/23 C280 Equity,258.06,0.08501898783228712
2023-03-17,MSFT US 04/21/23 C305 Equity,279.43,0.09150771212826103
2023-04-21,MSFT US 05/19/23 C310 Equity,285.76,0.08482642777155669
2023-05-19,MSFT US 06/16/23 C345 Equity,318.34,0.08374693723691662
2023-06-16,MSFT US 07/21/23 C375 Equity,342.33,0.09543423012882313
2023-07-21,MSFT US 08/18/23 C375 Equity,343.77,0.09084562352735848
2023-08-18,MSFT US 09/15/23 C345 Equity,316.48,0.09011627906976738
2023-09-15,MSFT US 10/20/23 C360 Equity,330.22,0.09018230270728589
2023-10-20,MSFT US 11/17/23 C355 Equity,326.67,0.08672360486117481
2023-11-17,MSFT US 12/15/23 C405 Equity,369.85,0.09503852913343236
2023-12-15,MSFT US 01/19/24 C405 Equity,370.73,0.09243924149650673
2024-01-19,MSFT US 02/16/24 C435 Equity,398.67,0.09112800060200166
2024-02-16,MSFT US 03/15/24 C440 Equity,404.06,0.08894718606147611
2024-03-15,MSFT US 04/19/24 C455 Equity,416.42,0.09264684693338454
2024-04-19,MSFT US 05/17/24 C435 Equity,399.12,0.08989777510523145
2024-05-17,MSFT US 06/21/24 C460 Equity,420.21,0.09469074986316373
2024-06-21,MSFT US 07/19/24 C490 Equity,449.78,0.08942149495308827
2024-07-19,MSFT US 08/16/24 C480 Equity,437.11,0.09812175424950231
2024-08-16,MSFT US 09/20/24 C455 Equity,418.47,0.08729419074246647
2024-09-20,MSFT US 10/18/24 C475 Equity,435.27,0.09127667884301705
2024-10-18,MSFT US 11/15/24 C455 Equity,418.16,0.0881002487086282
2024-11-15,MSFT US 12/20/24 C455 Equity,415.0,0.09638554216867479
2024-12-20,MSFT US 01/17/25 C475 Equity,436.6,0.08795235913879984
2025-01-17,MSFT US 02/21/25 C470 Equity,429.03,0.09549448756497214
2025-02-21,MSFT US 03/21/25 C445 Equity,408.21,0.09012518066681374
2025-03-21,MSFT US 04/17/25 C425 Equity,391.26,0.08623421765577888
