date,ticker,underlying_price,otm_pct,TTM,iv,dividend,weight
2021-07-16,RY CN 08/20/21 C128 Equity,127.54,0.01217776,35,0.08243216246627849,1.08,1
2021-08-20,RY CN 09/17/21 C135 Equity,131.72,0.02490131,28,0.1255248201230448,0.0,1
2021-09-17,RY CN 10/15/21 C130 Equity,127.66,0.01832994,28,0.12147014450167717,0.0,1
2021-10-15,RY CN 11/19/21 C131 Equity,130.66,0.01095848,35,0.077719353240997,1.08,1
2021-11-19,RY CN 12/17/21 C132 Equity,131.96,0.00030312,28,0.1331996329988919,0.0,1
2021-12-17,RY CN 01/21/22 C133 Equity,131.0,0.01526718,35,0.1250383389992273,0.0,1
2022-01-21,RY CN 02/18/22 C145 Equity,144.65,0.01080516,28,0.13829488365696055,1.2,1
2022-02-18,RY CN 03/18/22 C142 Equity,141.05,0.0067352,28,0.1852859728619787,0.0,1
2022-03-18,RY CN 04/14/22 C145 Equity,142.13,0.02019278,27,0.1497688601673262,0.0,1
2022-04-14,RY CN 05/20/22 C140 Equity,136.6,0.03397341,36,0.11732252901835188,1.2,1
2022-05-20,RY CN 06/17/22 C130 Equity,127.25,0.021611,28,0.19571188043125382,0.0,1
2022-06-17,RY CN 07/15/22 C125 Equity,124.53,0.00377419,28,0.194649160223511,0.0,1
2022-07-15,RY CN 08/19/22 C120 Equity,118.63,0.02258202,35,0.15872953109033447,1.28,1
2022-08-19,RY CN 09/16/22 C130 Equity,129.05,0.00736149,28,0.15859268373378718,0.0,1
2022-09-16,RY CN 10/21/22 C127 Equity,126.45,0.00434955,35,0.1900452944539549,0.0,0
2022-10-21,RY CN 11/18/22 C124 Equity,123.73,0.01265823,28,0.15912397941658854,1.28,0
2022-11-18,RY CN 12/16/22 C135 Equity,132.7,0.01733233,28,0.15988114920538013,0.0,1
2022-12-16,RY CN 01/20/23 C128 Equity,127.96,0.0003126,35,0.1575728848699832,0.0,1
2023-01-20,RY CN 02/17/23 C135 Equity,134.71,0.01206987,28,0.08096362880661741,1.32,1
2023-02-17,RY CN 03/17/23 C140 Equity,138.79,0.00871821,28,0.15732147113983308,0.0,1
2023-03-17,RY CN 04/21/23 C128 Equity,127.26,0.00581487,35,0.23559736987912894,0.0,1
2023-04-21,RY CN 05/19/23 C136 Equity,135.3,0.01507688,28,0.08096614085933833,1.32,1
2023-05-19,RY CN 06/16/23 C130 Equity,127.19,0.02209293,28,0.13730621730082332,0.0,1
2023-06-16,RY CN 07/21/23 C126 Equity,125.88,0.00095329,35,0.11224514026399827,0.0,0
2023-07-21,RY CN 08/18/23 C132 Equity,131.03,0.01789019,28,0.07522379721344163,1.35,1
2023-08-18,RY CN 09/15/23 C125 Equity,121.8,0.02627258,28,0.14554800184667402,0.0,1
2023-09-15,RY CN 10/20/23 C125 Equity,124.12,0.00708991,35,0.10873671094110508,0.0,0
2023-10-20,RY CN 11/17/23 C112 Equity,111.08,0.02068714,28,0.1314640349979645,1.35,1
2023-11-17,RY CN 12/15/23 C122 Equity,120.49,0.01253216,28,0.16638310173320983,0.0,1
2023-12-15,RY CN 01/19/24 C135 Equity,131.39,0.02747545,35,0.1027309456278746,0.0,1
2024-01-19,RY CN 02/16/24 C134 Equity,133.81,0.01185532,28,0.09072658671154954,1.38,1
2024-02-16,RY CN 03/15/24 C132 Equity,131.94,0.00045475,28,0.14725087420019262,0.0,1
2024-03-15,RY CN 04/19/24 C135 Equity,134.63,0.00274827,35,0.11826198916414302,0.0,1
2024-04-19,RY CN 05/17/24 C135 Equity,134.57,0.01358961,28,0.09861530752001502,1.38,1
