date,ticker,underlying_price,pct_otm,weight
2024-11-11,BTCC CN 12/20/24 C18,17.21,0.045903544,1
2024-11-12,BTCC CN 12/20/24 C18.25,17.71,0.030491248,1
2024-11-13,BTCC CN 12/20/24 C18.75,17.83,0.05159843,1
2024-11-14,BTCC CN 12/20/24 C18.5,17.47,0.058958214,1
2024-11-15,BTCC CN 12/20/24 C19,18.27,0.039956212,1
2024-11-18,BTCC CN 12/20/24 C19.25,18.16,0.060022026,1
2024-11-19,BTCC CN 12/20/24 C19.25,18.31,0.051338067,1
2024-11-29,BTCC CN 01/03/25 C19.75,19.39,0.018566271,1
2024-12-02,BTCC CN 01/10/25 C20.25,19.06,0.062434418,1
2024-12-03,BTCC CN 01/10/25 C20.25,19.07,0.061877294,1
2024-12-04,BTCC CN 01/10/25 C20.5,19.74,0.038500507,1
2024-12-05,BTCC CN 01/10/25 C20.5,19.87,0.03170609,1
2024-12-06,BTCC CN 01/10/25 C20.5,20.37,0.006381934,1
2024-12-09,BTCC CN 01/17/25 C20.5,19.36,0.058884298,1
2024-12-10,BTCC CN 01/17/25 C20.5,19.4,0.056701031,1
2024-12-11,BTCC CN 01/17/25 C21.5,20.36,0.055992141,1
2024-12-12,BTCC CN 01/17/25 C21.25,20.17,0.053544869,1
2024-12-13,BTCC CN 01/17/25 C22,20.56,0.070038911,1
2024-12-16,BTCC CN 01/17/25 C23,21.38,0.075771749,1
2024-12-17,BTCC CN 01/17/25 C23,21.65,0.062355658,1
2024-12-18,BTCC CN 01/24/25 C21.75,20.62,0.054801164,1
2024-12-19,BTCC CN 01/24/25 C20.75,19.63,0.057055527,1
2024-12-20,BTCC CN 01/24/25 C20.75,19.64,0.056517312,1
2024-12-23,BTCC CN 01/31/25 C20,18.94,0.055966209,1
2024-12-24,BTCC CN 01/31/25 C21.25,20.14,0.055114201,1
2024-12-27,BTCC CN 01/31/25 C20.25,19.28,0.050311203,1
2024-12-30,BTCC CN 01/31/25 C20.25,19.15,0.057441253,1
