date,ticker,underlying_price,pct_otm,weight
2020-01-17,T CN 02/21/20 C52,25.65,1.0272904483430803,1
2020-02-21,T CN 03/20/20 C52,25.94,1.0046260601387815,1
2020-03-20,T CN 04/17/20 C22,21.35,0.030444964871194413,1
2020-04-17,T CN 05/15/20 C23,22.77,0.010101010101010166,1
2020-05-15,T CN 06/19/20 C23,22.49,0.022676745220097994,1
2020-06-19,T CN 07/17/20 C24,23.72,0.01180438448566612,1
2020-07-17,T CN 08/21/20 C24,23.85,0.0062893081761006275,1
2020-08-21,T CN 09/18/20 C25,24.21,0.03263114415530777,1
2020-09-18,T CN 10/16/20 C24,23.52,0.020408163265306145,1
2020-10-16,T CN 11/20/20 C24,23.98,0.0008340283569641116,1
2020-11-20,T CN 12/18/20 C25,24.61,0.015847216578626533,1
2020-12-18,T CN 01/15/21 C25.5,25.43,0.002752654345261618,1
2021-01-15,T CN 02/19/21 C27,26.53,0.017715793441386962,1
2021-02-19,T CN 03/19/21 C27,26.06,0.036070606293169716,1
2021-03-19,T CN 04/16/21 C27,26.06,0.036070606293169716,1
2021-04-16,T CN 05/21/21 C27,26.06,0.036070606293169716,1
2021-05-21,T CN 06/18/21 C27,26.76,0.008968609865470878,1
2021-06-18,T CN 07/16/21 C28,27.64,0.013024602026049159,1
2021-07-16,T CN 08/20/21 C28,27.92,0.002865329512893977,1
2021-08-20,T CN 09/17/21 C30,29.04,0.03305785123966953,1
2021-09-17,T CN 10/15/21 C29,28.72,0.009749303621169991,1
2021-10-15,T CN 11/19/21 C28,27.96,0.0014306151645206988,1
2021-11-19,T CN 12/17/21 C30,29.13,0.029866117404737436,1
2021-12-17,T CN 01/21/22 C30,29.55,0.015228426395939021,1
2022-01-21,T CN 02/18/22 C30,29.4,0.020408163265306145,1
2022-02-18,T CN 03/18/22 C33,32.13,0.027077497665732864,1
2022-03-18,T CN 04/14/22 C32.5,32.29,0.006503561474140662,1
2022-04-14,T CN 05/20/22 C34,33.71,0.008602788490062352,1
2022-05-20,T CN 06/17/22 C32,31.1,0.02893890675241151,1
2022-06-17,T CN 07/15/22 C29,28.69,0.010805158591843833,1
2022-07-15,T CN 08/19/22 C29,28.61,0.0136315973435861,1
2022-08-19,T CN 09/16/22 C31,30.74,0.008458035133376729,1
2022-09-16,T CN 10/21/22 C29,28.77,0.00799443865137306,1
2022-10-21,T CN 11/18/22 C28,27.86,0.005025125628140614,1
2022-11-18,T CN 12/16/22 C29.5,29.17,0.011312992800822652,1
2022-12-16,T CN 01/20/23 C28,27.03,0.03588605253422128,1
2023-01-20,T CN 02/17/23 C28.5,28.47,0.0010537407797681642,1
2023-02-17,T CN 03/17/23 C28,27.79,0.007556675062972307,1
2023-03-17,T CN 04/21/23 C27,26.87,0.004838109415705283,1
2023-04-21,T CN 05/19/23 C29,28.73,0.009397841977027532,1
2023-05-19,T CN 06/16/23 C27.5,27.38,0.0043827611395179655,1
2023-06-16,T CN 07/21/23 C26,25.73,0.010493587252234704,1
2023-08-25,T CN 09/22/23 C23.5,23.34,0.006855184233076184,1
2023-09-22,T CN 10/20/23 C23,22.9,0.004366812227074357,1
2023-11-24,T CN 12/22/23 C24.5,24.06,0.018287614297589405,1
2023-12-22,T CN 01/19/24 C23.5,23.29,0.009016745384285096,1
2024-02-23,T CN 03/22/24 C24.5,24.32,0.0074013157894736725,1
2024-03-22,T CN 04/19/24 C22,21.74,0.011959521619135272,1
2024-05-24,T CN 06/21/24 C22.5,22.22,0.012601260126012592,1
2024-07-26,T CN 08/23/24 C22,21.95,0.002277904328018332,1
2024-08-23,T CN 09/20/24 C22,21.73,0.012425218591808562,1
2024-10-25,T CN 11/22/24 C22,22.0,0.0,1
2024-11-22,T CN 12/20/24 C21.5,21.29,0.009863785814936632,1
2024-12-20,T CN 01/24/25 C20,19.92,0.00401606425702794,1
