date,ticker,underlying_price,pct_otm,weight
2024-03-22,ZEB CN 03/28/24 C37,36.6873,0.00852338547671816,1
2024-03-28,ZEB CN 04/05/24 C37.5,36.98,0.014061654948620994,1
2024-04-05,ZEB CN 04/12/24 C37,36.73,0.00735093928668662,1
2024-04-12,ZEB CN 04/19/24 C36.5,35.96,0.015016685205784253,1
2024-04-19,ZEB CN 04/26/24 C36,35.64,0.010101010101010166,1
2024-04-26,ZEB CN 05/03/24 C36,35.64,0.010101010101010166,1
2024-05-03,ZEB CN 05/10/24 C36,35.51,0.013798929878907407,1
2024-05-10,ZEB CN 05/17/24 C37,36.43,0.01564644523744163,1
2024-05-17,ZEB CN 05/24/24 C37,36.7,0.008174386920980936,1
2024-05-24,ZEB CN 05/31/24 C36,36.46,-0.012616566099835413,1
2024-05-31,ZEB CN 06/07/24 C36.5,36.18,0.008844665561083431,1
2024-06-07,ZEB CN 06/14/24 C36.5,35.92,0.01614699331848546,1
2024-06-14,ZEB CN 06/21/24 C35.25,34.625,0.018050541516245522,1
2024-06-21,ZEB CN 06/28/24 C34.5,34.34,0.004659289458357474,1
2024-06-28,ZEB CN 07/05/24 C35,34.77,0.006614897900488748,1
2024-07-05,ZEB CN 07/12/24 C35,35.05,-0.0014265335235377208,1
2024-07-12,ZEB CN 07/19/24 C36.5,36.1231,0.010433766758666918,1
2024-07-19,ZEB CN 07/26/24 C37,36.4702,0.014526928835048913,1
2024-07-26,ZEB CN 08/02/24 C37,36.9,0.0027100271002711285,1
2024-08-02,ZEB CN 08/09/24 C36.5,35.88,0.01727982162764774,1
2024-08-09,ZEB CN 08/16/24 C36.75,36.05,0.01941747572815533,1
2024-08-16,ZEB CN 08/23/24 C37.5,37.03,0.012692411558196115,1
2024-08-23,ZEB CN 08/30/24 C37.5,37.6179,-0.003134146244208158,1
2024-08-30,ZEB CN 09/06/24 C38.5,38.3412,0.004141758734729217,1
2024-09-06,ZEB CN 09/13/24 C39,38.69,0.00801240630653921,1
2024-09-13,ZEB CN 09/20/24 C40,39.94,0.001502253380070151,1
2024-09-20,ZEB CN 09/27/24 C40.5,40.55,-0.0012330456226880004,1
2024-09-27,ZEB CN 10/04/24 C41,40.44,0.013847675568743778,1
2024-10-04,ZEB CN 10/11/24 C41,40.49,0.01259570264262777,1
2024-10-11,ZEB CN 10/18/24 C41.25,40.6047,0.015892248926848263,1
