date,ticker,underlying_price,pct_otm,weight
2018-01-05,SPY US 01/12/18 C274,273.42,0.002121278618974376,1
2018-01-12,SPY US 01/19/18 C278,277.92,0.0002878526194587394,1
2018-01-19,SPY US 01/26/18 C281,280.41,0.002104061909346866,1
2018-01-26,SPY US 02/02/18 C287,286.58,0.0014655593551540225,1
2018-02-02,SPY US 02/09/18 C276,275.45,0.0019967326193501833,1
2018-02-09,SPY US 02/16/18 C262,261.5,0.0019120458891013214,1
2018-02-16,SPY US 02/23/18 C274,273.11,0.0032587602065101695,1
2018-02-23,SPY US 03/02/18 C275,274.71,0.0010556586946235402,1
2018-03-02,SPY US 03/09/18 C270,269.08,0.0034190575293593373,1
2018-03-09,SPY US 03/16/18 C279,278.87,0.0004661670312331445,1
2018-03-16,SPY US 03/23/18 C275,274.2,0.0029175784099197966,1
2018-03-23,SPY US 03/29/18 C259,258.05,0.0036814570819607706,1
2018-03-29,SPY US 04/06/18 C264,263.15,0.003230096902907098,1
2018-04-06,SPY US 04/13/18 C260,259.72,0.0010780840905588729,1
2018-04-13,SPY US 04/20/18 C266,265.15,0.0032057326041863288,1
2018-04-20,SPY US 04/27/18 C267,266.61,0.0014628108473049295,1
2018-04-27,SPY US 05/04/18 C267,266.56,0.0016506602641055412,1
2018-05-04,SPY US 05/11/18 C267,266.02,0.003683933538831674,1
2018-05-11,SPY US 05/18/18 C273,272.85,0.0005497526113247275,1
2018-05-18,SPY US 05/25/18 C272,271.33,0.002469317804887128,1
2018-05-25,SPY US 06/01/18 C273,272.15,0.0031232776042624533,1
2018-06-01,SPY US 06/08/18 C274,273.6,0.0014619883040933868,1
2018-06-08,SPY US 06/15/18 C279,278.19,0.002911679068262618,1
2018-06-15,SPY US 06/22/18 C278,277.13,0.0031393208963301777,1
2018-06-22,SPY US 06/29/18 C275,274.74,0.0009463492756787151,1
2018-06-29,SPY US 07/06/18 C272,271.28,0.0026540843409024184,1
2018-07-06,SPY US 07/13/18 C276,275.42,0.002105874664149132,1
2018-07-13,SPY US 07/20/18 C280,279.59,0.001466432991165778,1
2018-07-20,SPY US 07/27/18 C280,279.68,0.0011441647597254523,1
2018-07-27,SPY US 08/03/18 C282,281.42,0.002060976476440768,1
2018-08-03,SPY US 08/10/18 C284,283.6,0.0014104372355430161,1
2018-08-10,SPY US 08/17/18 C284,283.16,0.0029665206950133527,1
