start_date,end_date,period_return,basket_return,option_prem_return,buyback_return,other_return,option_port_return,option_trading_return,cum_option_trading_return,option_prem_annual_yield,avg_option_prem_annual_yield,avg_option_spread,12m_rolling_avg_option_prem_annual_yield,dvd,option_premium,option_buyback,net_premium,portfolio_start_mv,portfolio_end_mv,period_less_premium,3m_rolling_return,6m_rolling_return,avg_correlation,moneyness,avg_moneyness
2018-01-05,2018-01-12,0.014188649985370519,0.01646687049837459,0.0005270514812376563,-0.002791948387096786,-1.3323607144942809e-05,-0.0022542134298880957,-1.0683475971033575e-05,-1.068347597099617e-05,0.0063246177748518765,0.006423714506981884,0.03973509933774838,,0.0,5328.0,-28224.000000000116,-22896.000000000116,10109069.397715088,10252503.445077088,0.013661598504132863,,,,0.002121278618974376,0.0013594902801146928
2018-01-12,2018-01-19,0.008469232120437908,0.0089641098621012,0.000524262198866258,-0.001010777519414156,-8.362421115393898e-06,-0.0004781271253660378,-8.388195181860129e-06,-1.907158153779953e-05,0.0062911463863950965,0.006423714506981884,0.03149606299212601,,0.0,5375.0,-10363.000000000107,-4988.000000000107,10252503.445077088,10339334.276569035,0.00794496992157165,,,,0.0002878526194587394,0.0013594902801146928
2018-01-19,2018-01-26,0.019722387697828317,0.022015114497339484,0.000528080421229192,-0.0028063702385322698,-1.4436982208088783e-05,-0.002268231142612998,-1.005867469007985e-05,-2.913006439297927e-05,0.006336965054750305,0.006423714506981884,0.03738317757009349,,0.0,5460.0,-29015.999999999916,-23555.999999999916,10339334.276569035,10543250.635708975,0.019194307276599126,,,,0.002104061909346866,0.0013594902801146928
2018-01-26,2018-02-02,-0.03828422073540528,-0.03885786277352729,0.000528869149815582,0.0,4.4772888306426895e-05,0.000532757893564226,-3.888743748643985e-06,-3.30186948622746e-05,0.006346429797786984,0.006423714506981884,0.014598540145985252,,0.0,5576.0,0.0,5576.0,10543250.635708975,10139610.50110279,-0.038813089885220864,0.042949674288715656,,,0.0014655593551540225,0.0013594902801146928
2018-02-02,2018-02-09,-0.05010559310433111,-0.05067153132988544,0.0005357207754093919,0.0,3.0217450144934266e-05,0.0005426243936492037,-6.9036182398117515e-06,-3.992208515368745e-05,0.0064286493049127025,0.006423714506981884,0.025445292620865163,,0.0,5432.0,0.0,5432.0,10139610.50110279,9631559.303098131,-0.0506413138797405,-0.011011256380362933,,,0.0019967326193501833,0.0013594902801146928
2018-02-09,2018-02-16,0.04331569395298047,0.04442197051747124,0.0005465366338248842,-0.0016148994685623592,-3.7913729753293046e-05,-0.001060368282912909,-7.994551824566126e-06,-4.791631781908556e-05,0.00655843960589861,0.006423714506981884,0.02883355176933167,,0.0,5264.0,-15554.000000000018,-10290.000000000018,9631559.303098131,10048756.978161111,0.042769157319155586,-0.06845459819157418,,,0.0019120458891013214,0.0013594902801146928
2018-02-16,2018-02-23,0.006160546583420755,0.005861488585461975,0.0005194672347380464,-0.00020490096481333463,-1.550827196593243e-05,0.0003261099862522239,-1.1543716327512143e-05,-5.945948101415688e-05,0.006233606816856557,0.006423714506981884,0.04347826086956514,,0.0,5220.0,-2058.999999999941,3161.000000000059,10048756.978161111,10110662.813630547,0.005641079348682708,-0.04690144193983792,-0.00596616930610927,,0.0032587602065101695,0.0013594902801146928
2018-02-23,2018-03-02,-0.019952204903246486,-0.020505084625887196,0.0005242979711333595,0.0,2.858175150734915e-05,0.000535029216156557,-1.0731245023197506e-05,-7.019008796305126e-05,0.006291575653600313,0.006423714506981884,0.04011461318051579,,0.0,5301.0,0.0,5301.0,10110662.813630547,9908932.797465356,-0.020476502874379847,-0.002854911189053566,-0.013834731410370504,,0.0010556586946235402,0.0013594902801146928
2018-03-02,2018-03-09,0.034547749054536205,0.03640232490918549,0.0005247790156907843,-0.00232739493458863,-5.195993575143887e-05,-0.0017934322861232568,-9.183632774588727e-06,-7.937307613758993e-05,0.006297348188289412,0.006423714506981884,0.034398034398034315,,0.0,5200.0,-23062.00000000001,-17862.00000000001,9908932.797465356,10251264.121150453,0.03402297003884542,0.02879839968155551,-0.041627581388779866,,0.0034190575293593373,0.0013594902801146928
2018-03-09,2018-03-16,-0.016192339584307814,-0.016755009703160025,0.0005288128308795955,0.0,3.3857287972616223e-05,0.0005345194441624688,-5.706613282873245e-06,-8.507923646905446e-05,0.006345753970555146,0.006423714506981884,0.021352313167259808,,0.0,5421.0,0.0,5421.0,10251264.121150453,10085272.171332354,-0.01672115241518741,0.020152457008309366,-0.02769416422384874,,0.0004661670312331445,0.0013594902801146928
2018-03-16,2018-03-23,-0.05835055784081192,-0.05893004536360985,0.0005336494552222868,0.0,4.58380675756459e-05,0.0005394499927790508,-5.8005375567639865e-06,-9.087928052042837e-05,0.006403793462667442,0.006423714506981884,0.02150537634408604,,0.0,5382.0,0.0,5382.0,10085272.171332354,9496790.914158694,-0.058884207296034205,-0.0025112737677260855,-0.00535901549320128,,0.0029175784099197966,0.0013594902801146928
2018-03-23,2018-03-29,0.01959380729323635,0.019774433335621674,0.0005475533837696015,-0.000699183551582718,-2.899587457220673e-05,-0.00014657582888601256,-5.0543389271040134e-06,-9.59331601128044e-05,0.006570640605235218,0.006423714506981884,0.018292682926829285,0.006369080551816639,0.0,5200.0,-6639.999999999964,-1439.9999999999636,9496790.914158694,9682869.205234878,0.019046253909466748,-0.04159296381665689,-0.01399237493103389,,0.0036814570819607706,0.0013594902801146928
