Roll Day,Coverage Ratio
2018-01-05,0.9750076413652574
2018-01-12,0.5891701998788614
2018-01-19,0.7055607476635516
2018-01-26,0.5631836047164513
2018-02-02,0.37740262282247017
2018-02-09,0.18454481298517997
2018-02-16,0.39961747491638805
2018-02-23,0.42384174564690325
2018-03-02,0.35599319599319607
2018-03-09,0.5343799616753356
2018-03-16,0.5291976840363937
2018-03-23,0.21181402439024394
2018-03-29,0.2839602281486049
2018-04-06,0.22023500908540286
2018-04-13,0.3922337278106508
2018-04-20,0.3442667404537908
2018-04-27,0.3987008547008548
2018-05-04,0.5189910813823857
2018-05-11,0.5119136960600377
2018-05-18,0.6062272582189595
2018-05-25,0.8232713915298185
2018-06-01,0.613846153846154
2018-06-08,0.764258241758242
2018-06-15,0.8336527718091966
2018-06-22,0.48187922826359314
2018-06-29,0.4712059553349876
2018-07-06,0.610300728078506
2018-07-13,0.6905892731122089
2018-07-20,0.6605128205128207
2018-07-27,0.7181698869850529
2018-08-03,0.81227495908347
2018-08-10,0.609883076923077
2018-08-17,0.8342056856187294
2018-08-24,0.7337112650382793
2018-08-31,0.7203722084367247
2018-09-07,0.5144901610017889
2018-09-14,0.7285008944543827
2018-09-21,0.5536105092091009
2018-09-28,0.6468658614113161
2018-10-05,0.3413656387665199
2018-10-12,0.22616204191546657
2018-10-19,0.31381856540084396
2018-10-26,0.16052808988764045
2018-11-02,0.23201633548701694
2018-11-09,0.3595266272189349
2018-11-16,0.3211178146472265
2018-11-23,0.2922680412371135
2018-11-30,0.20057692307692304
2018-12-07,0.18797656647987773
2018-12-14,0.2578181561085973
2018-12-21,0.17189349112426036
2018-12-28,0.16696351208241075
2019-01-04,0.266475113122172
2019-01-11,0.3304520597885527
2019-01-18,0.4295762321510824
2019-01-25,0.3267404285212505
2019-02-01,0.5049198717948719
2019-02-08,0.45229096989966566
2019-02-15,0.5353156878963331
2019-02-22,0.6650714771953712
2019-03-01,0.5944700181708058
2019-03-08,0.4174750108648414
2019-03-15,0.5548520710059173
2019-03-22,0.3178972190600098
2019-03-29,0.44088294314381277
2019-04-05,0.6265477667493797
2019-04-12,0.8491304347826089
2019-04-18,0.7331672083784759
2019-04-26,0.5873234200743495
2019-05-03,0.716397493908806
2019-05-10,0.34473504273504285
2019-05-17,0.29713097713097714
2019-05-24,0.30698821339950366
2019-05-31,0.28614345114345113
2019-06-07,0.3661665757410438
2019-06-14,0.5073465296918067
2019-06-21,0.5613747954173486
2019-06-28,0.30282002067030866
2019-07-05,0.7839474671669794
2019-07-12,0.7100371120107963
2019-07-19,0.625057091346154
2019-07-26,0.6610600375234521
2019-08-02,0.3101665657177469
2019-08-09,0.3172245532245532
2019-08-16,0.270025373931624
2019-08-23,0.1956387362637363
2019-08-30,0.3246867565424267
2019-09-06,0.5900311085972851
2019-09-13,0.6563780753659296
2019-09-20,0.5538355437665783
2019-09-27,0.36650124069478907
2019-10-04,0.3585885833623391
2019-10-11,0.38166359955833645
2019-10-18,0.4124560015819658
2019-10-25,0.5992619926199262
2019-11-01,0.8585657051282052
2019-11-08,0.6277445573294629
2019-11-15,0.6335355587808417
2019-11-22,0.6294736842105264
2019-11-29,0.6585363663573782
2019-12-06,0.4986628959276019
2019-12-13,0.6974065934065934
2019-12-20,0.7195865384615387
2019-12-27,0.6438803418803419
2020-01-03,0.49886604774535814
2020-01-10,0.5846076923076923
2020-01-17,0.7805340947262345
2020-01-24,0.4079032258064516
2020-01-31,0.22125061400923474
2020-02-07,0.48476130915155297
2020-02-14,0.5542213883677299
2020-02-21,0.3605746061167748
2020-02-28,0.08987302275189603
2020-03-06,0.11734122287968443
2020-03-13,0.07229235370810645
2020-03-20,0.056461961503208064
2020-03-27,0.07539056523586911
2020-04-03,0.12149160839160843
2020-04-09,0.12759795570698468
2020-04-17,0.14397818599311138
2020-04-24,0.1652586350742533
2020-05-01,0.15730530832803558
2020-05-08,0.22116248919619708
2020-05-15,0.22769685263038297
2020-05-22,0.2509196796893958
2020-05-29,0.2023019943019943
2020-06-05,0.29144458930899614
2020-06-12,0.16852405824628047
2020-06-19,0.21781227946365567
2020-07-10,0.24856104651162786
2020-07-17,0.29017394665635876
2020-07-24,0.2641919548341567
2020-07-31,0.3052403846153846
2020-08-07,0.36321184863523565
2020-08-14,0.3986272189349113
2020-08-21,0.4231410256410257
2020-08-28,0.3821332918094051
2020-09-04,0.2260548642533937
2020-09-11,0.2427509602408388
2020-09-18,0.20848045397225728
2020-09-25,0.22349553224553229
2020-10-02,0.208538283062645
2020-10-09,0.2710673216478732
2020-10-16,0.32409412078389555
2020-10-23,0.28866547406082294
2020-10-30,0.11507148610551755
2020-11-06,0.238667964946446
2020-11-13,0.3031809385582971
2020-11-20,0.408828073635766
2020-11-27,0.3358873202269429
2020-12-04,0.4166317991631801
2020-12-11,0.3707489878542511
2020-12-18,0.372962909510752
2020-12-24,0.5201369311316956
2020-12-31,0.26914438502673804
2021-01-08,0.3382106196933216
2021-01-15,0.3530541012216405
2021-01-22,0.3573070257299027
2021-01-29,0.18923880487983052
2021-02-05,0.38517882486517174
2021-02-12,0.4161841308298002
2021-02-19,0.444949478487614
2021-02-26,0.2002045266561396
2021-03-05,0.24160233918128657
2021-03-12,0.4226815813668404
2021-03-19,0.37053003533568907
2021-03-26,0.39779850746268663
2021-04-01,0.42379779356203734
2021-04-09,0.5755104895104897
2021-04-16,0.6206587335316618
2021-04-23,0.47948389217619986
2021-04-30,0.425568181818182
2021-05-07,0.5516878267363706
2021-05-14,0.3461609686609687
2021-05-21,0.3146890574214518
2021-05-28,0.7295980148883375
2021-06-04,0.6117038875103392
2021-06-11,0.7230209347614412
2021-06-18,0.30647251239843837
2021-06-25,0.6796244879380975
2021-07-02,0.8165788058095752
2021-07-09,0.5719774859287057
2021-07-16,0.4554117647058825
2021-07-23,0.5323388072601557
2021-07-30,0.44804700043789236
2021-08-06,0.65457100591716
2021-08-13,0.759844206426485
2021-08-20,0.5425734265734266
2021-08-27,0.7648022324678477
2021-09-03,0.9917323327079426
2021-09-10,0.3590603408567481
2021-09-17,0.37079083163326537
